filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---9.png,77958,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---10.png,964796,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---11.png,1369018,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---12.png,1409403,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---13.png,1111942,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---14.png,1076811,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---15.png,1409683,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---16.png,1271504,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---26.png,154781,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---27.png,1123831,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---28.png,1613979,"{}",4,0,"{""name"":""rect"",""x"":615,""y"":927,""width"":66,""height"":32}","{""Age Class"":""Adult""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---28.png,1613979,"{}",4,1,"{""name"":""rect"",""x"":959,""y"":917,""width"":39,""height"":26}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---28.png,1613979,"{}",4,2,"{""name"":""rect"",""x"":632,""y"":899,""width"":36,""height"":33}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---28.png,1613979,"{}",4,3,"{""name"":""rect"",""x"":514,""y"":937,""width"":67,""height"":31}","{""Age Class"":""Adult""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,0,"{""name"":""rect"",""x"":152,""y"":671,""width"":40,""height"":26}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,1,"{""name"":""rect"",""x"":83,""y"":899,""width"":32,""height"":34}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,2,"{""name"":""rect"",""x"":48,""y"":918,""width"":30,""height"":24}","{""Age Class"":""Unknown""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,3,"{""name"":""rect"",""x"":871,""y"":681,""width"":40,""height"":31}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,4,"{""name"":""rect"",""x"":129,""y"":951,""width"":36,""height"":19}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,5,"{""name"":""rect"",""x"":160,""y"":934,""width"":40,""height"":28}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,6,"{""name"":""rect"",""x"":294,""y"":851,""width"":44,""height"":60}","{""Age Class"":""Adult""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,7,"{""name"":""rect"",""x"":279,""y"":828,""width"":40,""height"":40}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,8,"{""name"":""rect"",""x"":292,""y"":791,""width"":35,""height"":32}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,9,"{""name"":""rect"",""x"":356,""y"":773,""width"":45,""height"":22}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,10,"{""name"":""rect"",""x"":368,""y"":732,""width"":41,""height"":29}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,11,"{""name"":""rect"",""x"":470,""y"":953,""width"":34,""height"":38}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,12,"{""name"":""rect"",""x"":395,""y"":755,""width"":35,""height"":29}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,13,"{""name"":""rect"",""x"":421,""y"":759,""width"":32,""height"":40}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,14,"{""name"":""rect"",""x"":707,""y"":881,""width"":51,""height"":55}","{""Age Class"":""Adult""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,15,"{""name"":""rect"",""x"":681,""y"":900,""width"":33,""height"":38}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,16,"{""name"":""rect"",""x"":424,""y"":879,""width"":33,""height"":23}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,17,"{""name"":""rect"",""x"":458,""y"":802,""width"":49,""height"":33}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,18,"{""name"":""rect"",""x"":439,""y"":669,""width"":28,""height"":68}","{""Age Class"":""Adult""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,19,"{""name"":""rect"",""x"":614,""y"":845,""width"":38,""height"":29}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,20,"{""name"":""rect"",""x"":841,""y"":951,""width"":33,""height"":29}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,21,"{""name"":""rect"",""x"":594,""y"":762,""width"":40,""height"":27}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,22,"{""name"":""rect"",""x"":585,""y"":821,""width"":48,""height"":25}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,23,"{""name"":""rect"",""x"":511,""y"":783,""width"":40,""height"":26}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,24,"{""name"":""rect"",""x"":477,""y"":740,""width"":22,""height"":41}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,25,"{""name"":""rect"",""x"":470,""y"":686,""width"":25,""height"":55}","{""Age Class"":""Adult""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,26,"{""name"":""rect"",""x"":531,""y"":703,""width"":53,""height"":42}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,27,"{""name"":""rect"",""x"":506,""y"":728,""width"":37,""height"":32}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,28,"{""name"":""rect"",""x"":555,""y"":760,""width"":20,""height"":32}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---29.png,1484698,"{}",30,29,"{""name"":""rect"",""x"":537,""y"":742,""width"":25,""height"":25}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---30.png,1529269,"{}",8,0,"{""name"":""rect"",""x"":85,""y"":870,""width"":39,""height"":31}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---30.png,1529269,"{}",8,1,"{""name"":""rect"",""x"":95,""y"":769,""width"":51,""height"":35}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---30.png,1529269,"{}",8,2,"{""name"":""rect"",""x"":375,""y"":679,""width"":34,""height"":46}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---30.png,1529269,"{}",8,3,"{""name"":""rect"",""x"":417,""y"":856,""width"":41,""height"":38}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---30.png,1529269,"{}",8,4,"{""name"":""rect"",""x"":231,""y"":815,""width"":25,""height"":33}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---30.png,1529269,"{}",8,5,"{""name"":""rect"",""x"":100,""y"":845,""width"":35,""height"":31}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---30.png,1529269,"{}",8,6,"{""name"":""rect"",""x"":713,""y"":920,""width"":63,""height"":51}","{""Age Class"":""Adult""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---30.png,1529269,"{}",8,7,"{""name"":""rect"",""x"":358,""y"":981,""width"":40,""height"":17}","{""Age Class"":""Unknown""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---31.png,1252903,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---32.png,1254102,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---33.png,1541426,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---34.png,1620926,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---43.png,261747,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---44.png,1180881,"{}",0,0,"{}","{}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,0,"{""name"":""rect"",""x"":850,""y"":241,""width"":21,""height"":40}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,1,"{""name"":""rect"",""x"":822,""y"":273,""width"":34,""height"":23}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,2,"{""name"":""rect"",""x"":783,""y"":343,""width"":40,""height"":29}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,3,"{""name"":""rect"",""x"":704,""y"":335,""width"":28,""height"":31}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,4,"{""name"":""rect"",""x"":684,""y"":400,""width"":38,""height"":25}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,5,"{""name"":""rect"",""x"":642,""y"":542,""width"":32,""height"":32}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,6,"{""name"":""rect"",""x"":924,""y"":654,""width"":49,""height"":41}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,7,"{""name"":""rect"",""x"":977,""y"":544,""width"":19,""height"":42}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,8,"{""name"":""rect"",""x"":614,""y"":957,""width"":34,""height"":33}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,9,"{""name"":""rect"",""x"":543,""y"":960,""width"":44,""height"":28}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---45.png,1635614,"{}",11,10,"{""name"":""rect"",""x"":594,""y"":770,""width"":30,""height"":47}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---46.png,1417666,"{}",33,0,"{""name"":""rect"",""x"":95,""y"":137,""width"":33,""height"":29}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---46.png,1417666,"{}",33,1,"{""name"":""rect"",""x"":97,""y"":99,""width"":37,""height"":54}","{""Age Class"":""Unknown""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---46.png,1417666,"{}",33,2,"{""name"":""rect"",""x"":315,""y"":54,""width"":40,""height"":23}","{""Age Class"":""Pup""}"
2015_02_02_hay_island_flight03_s110rgb_jpeg_mosaic_group1---46.png,1417666,"{}",33,3,"{""name"":""rect"",""x"":453,""y"":73,""width"":32,""height"":45}","{""Age Class"":""Pup""}"
